PARTNERID,PARTNERROLE,EMAILADDRESS,PHONENUMBER,FAXNUMBER,WEBADDRESS,ADDRESSID,COMPANYNAME,LEGALFORM,CREATEDBY,CREATEDAT,CHANGEDBY,CHANGEDAT,CURRENCY
0100000025,1,mudassir.k@homerundubai.com,4580963184,,http://www.homerundubai.com,1000000059,Homerun Millwork Inc.,Inc.,0000000005,20181003,0000000005,20181003,AED
0100000026,1,rehanshehzad@antoniobikes.com,1012697341,,http://www.antoniobikes.com,1000000060,Antonio Bandolera,Inc.,0000000004,20181003,0000000004,20181003,AED
0100000027,1,sarfaraz.khan@khancycles.ae,7345697824,,http://www.khancycles.ae,1000000061,Khan Cycles,Inc.,0000000006,20181003,0000000006,20181003,AED
0100000028,1,alam.sheikh@palmbeachbikes.ae,469614115,,http://www.palmbeachbikes.ae,1000000062,Palm Beach Bike World,Inc.,0000000007,20181003,0000000007,20181003,AED
0100000029,1,bhushan.shetty@a2zfitnes.com,6839542781,,http://www.a2zfitnes.com,1000000063,A to Z Fitness,Inc.,0000000009,20181003,0000000009,20181003,AED
0100000030,1,romain.le_mason@hudsonsport.ca,6714954542,,http://www.hudsonsport.ca,1000000064,Hudson SportsTec,Ltd.,0000000010,20181003,0000000010,20181003,CAD
0100000031,2,anthony.lebouef@ebike36.ca,2483693027,,http://www.ebike36.ca,1000000065,Ebike 36,Ltd.,0000000003,20181003,0000000003,20181003,CAD
0100000032,2,lisa.felske@wichitasport.com,2094573421,,http://www.wichitasport.com,1000000066,Wichita Sport,Ltd.,0000000001,20181003,0000000001,20181003,CAD
0100000033,1,jonathan.d.mason@movebybike.ca,4136278910,,http://www.movebybike.ca,1000000067,Move by Bike,Ltd.,0000000001,20181003,0000000001,20181003,CAD
0100000034,2,amelie.troyat@techcycletoronto.ca,3540671320,,http://www.techcycletoronto.ca,1000000068,TechCycle,Ltd.,0000000004,20181003,0000000004,20181003,CAD
0100000035,2,sophie.ribery@yourcycleshop.fr,7315064077,,http://www.yourcycleshop.fr,1000000069,YourCycleShop,S.A.R.L.,0000000007,20181003,0000000007,20181003,EUR
0100000036,1,jorge.velez@unolabmanufacturing.com,4381762683,,http://www.unolabmanufacturing.com,1000000070,Unolab Manufacturing,S.A.R.L.,0000000013,20181003,0000000013,20181003,EUR
0100000037,2,joseph_gschwandtner@ebike201.fr,9703586412,,http://www.ebike201.fr,1000000071,E bike 201,S.A.R.L.,0000000004,20181003,0000000004,20181003,EUR
0100000038,2,george_d_grant@thecyclefactor.fr,6843585642,,http://www.thecyclefactor.fr,1000000072,The Cycle Factor,S.A.R.L.,0000000003,20181003,0000000003,20181003,EUR
0100000039,1,theodor.monathy@eiffelbikes.fr,4203876954,,http://www.eiffelbikes.fr,1000000073,Eiffel Bikes,S.A.R.L.,0000000009,20181003,0000000009,20181003,EUR
